x,t,v
1236.7173404798912,1.1000000000000014,83.0
1236.7173404798912,3.1000000000000014,87.0
1236.7173404798912,5.100000000000001,74.0
1236.7173404798912,6.100000000000001,84.0
1236.7173404798912,8.100000000000001,84.0
1236.7173404798912,19.1,84.0
1236.7173404798912,20.1,95.0
1236.7173404798912,24.1,87.0
1236.7173404798912,25.1,88.0
1236.7173404798912,26.1,92.0
1236.7173404798912,28.1,130.0
1236.7173404798912,31.1,87.0
1236.7173404798912,32.1,90.0
1236.7173404798912,35.1,87.0
1236.7173404798912,36.1,98.0
1236.7173404798912,37.1,98.0
1236.7173404798912,39.1,74.0
1236.7173404798912,40.1,105.0
1236.7173404798912,41.1,73.0
1236.7173404798912,42.1,83.0
1236.7173404798912,43.1,84.0
1236.7173404798912,44.1,100.0
1236.7173404798912,45.1,72.0
1236.7173404798912,46.1,91.0
1236.7173404798912,47.1,83.0
1236.7173404798912,48.1,90.0
1236.7173404798912,49.1,48.0
1236.7173404798912,51.1,84.0
1236.7173404798912,52.1,86.0
1236.7173404798912,53.1,90.0
1236.7173404798912,54.1,87.0
1236.7173404798912,55.1,89.0
1236.7173404798912,56.1,108.0
1236.7173404798912,57.1,86.0
1236.7173404798912,58.1,87.0
1236.7173404798912,59.1,80.0
1236.7173404798912,60.1,90.0
1236.7173404798912,61.1,114.0
1236.7173404798912,62.1,93.0
1236.7173404798912,63.1,76.0
1236.7173404798912,64.1,89.0
1236.7173404798912,67.1,73.0
1236.7173404798912,68.1,96.0
1236.7173404798912,70.1,88.0
1236.7173404798912,71.1,86.0
1236.7173404798912,72.1,100.0
1236.7173404798912,73.1,86.0
1236.7173404798912,74.1,82.0
1236.7173404798912,75.1,115.0
1236.7173404798912,76.1,74.0
1236.7173404798912,78.1,94.0
1236.7173404798912,79.1,83.0
1236.7173404798912,80.1,114.0
1236.7173404798912,82.1,68.0
1236.7173404798912,83.1,86.0
1236.7173404798912,85.1,75.0
1236.7173404798912,86.1,90.0
1236.7173404798912,88.1,93.0
1236.7173404798912,89.1,97.0
1236.7173404798912,90.1,85.0
1236.7173404798912,91.1,73.0
1236.7173404798912,93.1,88.0
