x,t,v
1198.8813669879578,0.10000000000000142,50.5
1198.8813669879578,2.1000000000000014,41.0
1198.8813669879578,3.1000000000000014,50.5
1198.8813669879578,5.100000000000001,55.5
1198.8813669879578,6.100000000000001,50.0
1198.8813669879578,7.100000000000001,41.0
1198.8813669879578,8.100000000000001,50.0
1198.8813669879578,10.100000000000001,49.5
1198.8813669879578,11.100000000000001,64.5
1198.8813669879578,12.100000000000001,56.5
1198.8813669879578,13.100000000000001,47.0
1198.8813669879578,15.100000000000001,37.5
1198.8813669879578,16.1,114.0
1198.8813669879578,17.1,48.0
1198.8813669879578,18.1,50.0
1198.8813669879578,19.1,51.5
1198.8813669879578,21.1,49.5
1198.8813669879578,23.1,50.0
1198.8813669879578,25.1,45.0
1198.8813669879578,26.1,62.0
1198.8813669879578,28.1,54.0
1198.8813669879578,30.1,44.0
1198.8813669879578,34.1,48.0
1198.8813669879578,35.1,49.5
1198.8813669879578,36.1,48.0
1198.8813669879578,37.1,52.0
1198.8813669879578,38.1,51.0
1198.8813669879578,39.1,109.5
1198.8813669879578,40.1,58.5
1198.8813669879578,45.1,48.0
1198.8813669879578,47.1,59.0
1198.8813669879578,48.1,53.5
1198.8813669879578,49.1,46.5
1198.8813669879578,52.1,55.0
1198.8813669879578,53.1,70.0
1198.8813669879578,54.1,49.0
1198.8813669879578,58.1,54.5
1198.8813669879578,60.1,37.5
1198.8813669879578,61.1,53.5
1198.8813669879578,62.1,58.5
1198.8813669879578,63.1,49.0
1198.8813669879578,64.1,36.0
1198.8813669879578,68.1,70.0
1198.8813669879578,69.1,48.0
1198.8813669879578,70.1,54.5
1198.8813669879578,71.1,53.5
1198.8813669879578,74.1,51.5
1198.8813669879578,76.1,50.5
1198.8813669879578,77.1,48.5
1198.8813669879578,80.1,58.5
1198.8813669879578,81.1,63.0
1198.8813669879578,84.1,47.5
1198.8813669879578,85.1,53.5
1198.8813669879578,90.1,53.0
1198.8813669879578,91.1,48.0
1198.8813669879578,93.1,52.5
1198.8813669879578,94.1,52.0
1198.8813669879578,95.1,48.5
1198.8813669879578,98.1,62.0
1198.8813669879578,102.1,51.5
1198.8813669879578,103.1,48.0
1198.8813669879578,104.1,63.0
1198.8813669879578,106.1,44.5
1198.8813669879578,107.1,57.0
1198.8813669879578,108.1,50.5
1198.8813669879578,109.1,48.5
1198.8813669879578,110.1,46.5
1198.8813669879578,113.1,63.0
1198.8813669879578,115.1,46.5
1198.8813669879578,116.1,45.5
1198.8813669879578,117.1,44.5
1198.8813669879578,118.1,53.0
1198.8813669879578,120.1,48.0
1198.8813669879578,121.1,56.5
1198.8813669879578,122.1,50.0
1198.8813669879578,124.1,58.0
1198.8813669879578,125.1,106.5
1198.8813669879578,127.1,57.0
1198.8813669879578,128.1,50.0
1198.8813669879578,129.1,74.5
1198.8813669879578,131.1,47.0
1198.8813669879578,133.1,65.0
1198.8813669879578,134.1,53.5
1198.8813669879578,137.1,58.5
1198.8813669879578,138.1,50.0
1198.8813669879578,141.1,41.0
1198.8813669879578,143.1,118.5
1198.8813669879578,144.1,52.5
1198.8813669879578,145.1,56.5
1198.8813669879578,146.1,64.5
1198.8813669879578,147.1,52.5
1198.8813669879578,151.1,56.5
1198.8813669879578,153.1,44.5
1198.8813669879578,154.1,60.0
1198.8813669879578,155.1,51.0
1198.8813669879578,158.1,49.0
1198.8813669879578,159.1,49.5
1198.8813669879578,160.1,49.5
1198.8813669879578,161.1,52.0
1198.8813669879578,162.1,51.5
1198.8813669879578,163.1,52.0
1198.8813669879578,164.1,41.5
1198.8813669879578,165.1,55.0
1198.8813669879578,167.1,100.5
1198.8813669879578,168.1,50.0
1198.8813669879578,170.1,53.0
1198.8813669879578,171.1,50.5
1198.8813669879578,173.1,58.5
1198.8813669879578,175.1,43.0
1198.8813669879578,176.1,53.0
1198.8813669879578,177.1,65.5
1198.8813669879578,178.1,60.5
1198.8813669879578,179.1,44.0
1198.8813669879578,180.1,44.5
1198.8813669879578,181.1,51.0
1198.8813669879578,182.1,56.5
1198.8813669879578,183.1,57.5
1198.8813669879578,184.1,49.0
1198.8813669879578,185.1,38.0
1198.8813669879578,186.1,49.0
1198.8813669879578,187.1,52.5
1198.8813669879578,189.1,44.0
1198.8813669879578,190.1,43.0
1198.8813669879578,191.1,52.5
1198.8813669879578,193.1,52.0
1198.8813669879578,194.1,50.0
1198.8813669879578,197.1,53.5
1198.8813669879578,198.1,108.5
1198.8813669879578,199.1,56.0
1198.8813669879578,200.1,53.5
1198.8813669879578,201.1,49.0
1198.8813669879578,202.1,51.0
1198.8813669879578,203.1,52.5
1198.8813669879578,204.1,39.5
1198.8813669879578,205.1,52.5
1198.8813669879578,206.1,50.5
1198.8813669879578,207.1,53.0
1198.8813669879578,209.1,52.5
1198.8813669879578,210.1,48.5
1198.8813669879578,211.1,53.0
1198.8813669879578,212.1,45.0
1198.8813669879578,213.1,50.5
1198.8813669879578,215.1,47.5
1198.8813669879578,216.1,49.0
1198.8813669879578,218.1,55.0
1198.8813669879578,219.1,56.5
1198.8813669879578,220.1,55.5
1198.8813669879578,221.1,51.0
1198.8813669879578,222.1,48.5
1198.8813669879578,223.1,46.0
1198.8813669879578,224.1,108.0
1198.8813669879578,225.1,52.0
1198.8813669879578,227.1,48.0
1198.8813669879578,228.1,47.5
1198.8813669879578,229.1,108.0
1198.8813669879578,230.1,114.5
1198.8813669879578,231.1,44.5
1198.8813669879578,232.1,46.0
1198.8813669879578,233.1,52.0
1198.8813669879578,234.1,49.0
1198.8813669879578,235.1,43.5
1198.8813669879578,236.1,117.0
1198.8813669879578,237.1,57.0
1198.8813669879578,238.1,49.5
1198.8813669879578,239.1,60.5
1579.8964048618254,0.10000000000000142,33.333333333333336
1579.8964048618254,1.1000000000000014,31.666666666666668
1579.8964048618254,2.1000000000000014,29.666666666666668
1579.8964048618254,3.1000000000000014,30.333333333333332
1579.8964048618254,4.100000000000001,28.0
1579.8964048618254,5.100000000000001,36.333333333333336
1579.8964048618254,6.100000000000001,77.66666666666667
1579.8964048618254,7.100000000000001,66.33333333333333
1579.8964048618254,8.100000000000001,64.0
1579.8964048618254,9.100000000000001,70.33333333333333
1579.8964048618254,10.100000000000001,70.0
1579.8964048618254,11.100000000000001,29.666666666666668
1579.8964048618254,12.100000000000001,47.666666666666664
1579.8964048618254,13.100000000000001,71.66666666666667
1579.8964048618254,14.100000000000001,35.0
1579.8964048618254,15.100000000000001,37.666666666666664
1579.8964048618254,16.1,112.33333333333333
1579.8964048618254,17.1,81.0
1579.8964048618254,18.1,34.333333333333336
1579.8964048618254,19.1,64.0
1579.8964048618254,20.1,82.0
1579.8964048618254,21.1,32.333333333333336
1579.8964048618254,22.1,34.666666666666664
1579.8964048618254,23.1,67.66666666666667
1579.8964048618254,24.1,33.666666666666664
1579.8964048618254,25.1,61.0
1579.8964048618254,26.1,83.33333333333333
1579.8964048618254,28.1,70.0
1579.8964048618254,29.1,29.0
1579.8964048618254,30.1,38.0
1579.8964048618254,31.1,27.0
1579.8964048618254,32.1,34.333333333333336
1579.8964048618254,33.1,32.666666666666664
1579.8964048618254,34.1,71.33333333333333
1579.8964048618254,35.1,71.66666666666667
1579.8964048618254,36.1,71.33333333333333
1579.8964048618254,38.1,98.0
1579.8964048618254,39.1,104.66666666666667
1579.8964048618254,40.1,76.33333333333333
1579.8964048618254,41.1,38.666666666666664
1579.8964048618254,42.1,32.666666666666664
1579.8964048618254,43.1,37.333333333333336
1579.8964048618254,44.1,33.0
1579.8964048618254,45.1,65.33333333333333
1579.8964048618254,47.1,78.33333333333333
1579.8964048618254,48.1,71.66666666666667
1579.8964048618254,49.1,67.33333333333333
1579.8964048618254,50.1,42.666666666666664
