x,t,v
1029.6231875014143,0.0,97.5
1029.6231875014143,1.0,92.25
1029.6231875014143,2.0,87.75
1029.6231875014143,3.0,88.5
1029.6231875014143,4.0,87.5
1029.6231875014143,5.0,90.25
1029.6231875014143,6.0,86.0
1029.6231875014143,7.0,90.0
1029.6231875014143,8.0,88.0
1029.6231875014143,9.0,90.5
1029.6231875014143,10.0,90.5
1029.6231875014143,11.0,87.75
1029.6231875014143,12.0,87.5
1029.6231875014143,13.0,87.0
1029.6231875014143,14.0,88.5
1029.6231875014143,15.0,90.5
1029.6231875014143,16.0,91.75
1029.6231875014143,17.0,85.5
1029.6231875014143,18.0,89.0
1029.6231875014143,19.0,90.75
1029.6231875014143,20.0,92.0
1029.6231875014143,21.0,89.5
1029.6231875014143,22.0,87.5
1029.6231875014143,23.0,92.25
1029.6231875014143,24.0,85.75
1029.6231875014143,25.0,89.5
1029.6231875014143,26.0,91.25
1029.6231875014143,27.0,87.25
1029.6231875014143,28.0,86.75
1029.6231875014143,29.0,87.75
1029.6231875014143,30.0,89.75
1029.6231875014143,31.0,87.25
1029.6231875014143,32.0,90.75
1029.6231875014143,33.0,85.25
1029.6231875014143,34.0,92.5
1029.6231875014143,35.0,87.5
1029.6231875014143,36.0,91.0
1029.6231875014143,37.0,88.25
1029.6231875014143,38.0,89.0
1029.6231875014143,39.0,87.5
1029.6231875014143,40.0,89.75
1029.6231875014143,41.0,87.5
1029.6231875014143,42.0,85.25
1029.6231875014143,43.0,86.75
1029.6231875014143,44.0,89.25
1029.6231875014143,45.0,90.0
1029.6231875014143,46.0,88.0
1029.6231875014143,47.0,86.25
1029.6231875014143,48.0,88.5
1029.6231875014143,49.0,88.25
1029.6231875014143,50.0,86.75
1029.6231875014143,51.0,64.25
1029.6231875014143,52.0,87.0
1029.6231875014143,53.0,89.0
1029.6231875014143,54.0,92.25
1029.6231875014143,55.0,92.25
1029.6231875014143,56.0,85.5
1029.6231875014143,57.0,86.5
1029.6231875014143,58.0,93.25
1029.6231875014143,59.0,86.75
1029.6231875014143,60.0,89.5
1029.6231875014143,61.0,93.25
1029.6231875014143,62.0,86.25
1029.6231875014143,63.0,87.25
1029.6231875014143,64.0,92.0
1029.6231875014143,65.0,85.5
1029.6231875014143,66.0,87.75
1029.6231875014143,67.0,87.5
1029.6231875014143,68.0,87.0
1029.6231875014143,69.0,89.25
1029.6231875014143,70.0,84.25
1029.6231875014143,71.0,89.5
1029.6231875014143,72.0,87.5
1029.6231875014143,73.0,89.5
1029.6231875014143,74.0,92.5
1029.6231875014143,75.0,86.75
1029.6231875014143,76.0,86.5
1029.6231875014143,77.0,88.5
1029.6231875014143,78.0,89.75
1029.6231875014143,79.0,90.25
1029.6231875014143,80.0,86.75
1029.6231875014143,81.0,91.25
1029.6231875014143,82.0,88.5
1029.6231875014143,83.0,86.75
1029.6231875014143,84.0,90.0
1029.6231875014143,85.0,88.75
1029.6231875014143,86.0,92.5
1029.6231875014143,87.0,85.25
