x,t,v
407.44839244929426,7.799999999999997,113.0
407.44839244929426,10.799999999999997,103.0
407.44839244929426,11.799999999999997,138.0
407.44839244929426,40.8,114.0
407.44839244929426,76.8,134.0
407.44839244929426,85.8,120.0
407.44839244929426,87.8,98.0
407.44839244929426,89.8,106.0
407.44839244929426,96.8,114.0
407.44839244929426,99.8,99.0
407.44839244929426,101.8,98.0
407.44839244929426,102.8,101.0
407.44839244929426,103.8,86.0
407.44839244929426,104.8,94.0
407.44839244929426,105.8,115.0
407.44839244929426,108.8,110.0
407.44839244929426,111.8,114.0
407.44839244929426,112.8,99.0
407.44839244929426,113.8,100.0
407.44839244929426,116.8,115.0
407.44839244929426,117.8,117.0
407.44839244929426,119.8,100.0
407.44839244929426,121.8,101.0
407.44839244929426,122.8,102.0
407.44839244929426,123.8,100.0
407.44839244929426,124.8,96.0
407.44839244929426,125.8,87.0
407.44839244929426,126.8,101.0
407.44839244929426,127.8,110.0
407.44839244929426,128.8,114.0
407.44839244929426,129.8,117.0
407.44839244929426,132.8,77.0
407.44839244929426,133.8,103.0
407.44839244929426,134.8,115.0
407.44839244929426,135.8,98.0
407.44839244929426,136.8,120.0
407.44839244929426,137.8,98.0
407.44839244929426,138.8,109.0
407.44839244929426,139.8,102.0
407.44839244929426,141.8,104.0
407.44839244929426,142.8,109.0
407.44839244929426,143.8,99.0
407.44839244929426,144.8,148.0
407.44839244929426,145.8,103.0
407.44839244929426,146.8,117.0
407.44839244929426,147.8,102.0
407.44839244929426,148.8,111.0
407.44839244929426,149.8,116.0
407.44839244929426,150.8,98.0
407.44839244929426,151.8,105.0
407.44839244929426,152.8,112.0
407.44839244929426,153.8,110.0
407.44839244929426,155.8,108.0
407.44839244929426,156.8,93.0
407.44839244929426,157.8,105.0
407.44839244929426,158.8,91.0
407.44839244929426,159.8,104.0
407.44839244929426,160.8,104.0
407.44839244929426,161.8,103.0
407.44839244929426,162.8,102.0
407.44839244929426,163.8,107.0
407.44839244929426,164.8,108.0
407.44839244929426,165.8,101.0
407.44839244929426,166.8,104.0
407.44839244929426,167.8,104.0
407.44839244929426,168.8,105.0
407.44839244929426,169.8,107.0
407.44839244929426,170.8,106.0
407.44839244929426,171.8,99.0
407.44839244929426,172.8,110.0
407.44839244929426,173.8,100.0
407.44839244929426,174.8,104.0
407.44839244929426,175.8,106.0
407.44839244929426,176.8,102.0
407.44839244929426,177.8,104.0
407.44839244929426,178.8,98.0
407.44839244929426,179.8,102.0
407.44839244929426,180.8,102.0
407.44839244929426,181.8,104.0
407.44839244929426,182.8,104.0
407.44839244929426,183.8,97.0
407.44839244929426,184.8,94.0
407.44839244929426,185.8,107.0
407.44839244929426,186.8,107.0
407.44839244929426,187.8,110.0
407.44839244929426,188.8,108.0
407.44839244929426,189.8,100.0
407.44839244929426,190.8,97.0
407.44839244929426,191.8,94.0
407.44839244929426,192.8,102.0
407.44839244929426,193.8,102.0
407.44839244929426,194.8,104.0
407.44839244929426,195.8,98.0
407.44839244929426,196.8,106.0
407.44839244929426,197.8,102.0
407.44839244929426,198.8,103.0
407.44839244929426,199.8,89.0
407.44839244929426,200.8,98.0
407.44839244929426,201.8,100.0
407.44839244929426,202.8,100.0
407.44839244929426,203.8,93.0
407.44839244929426,204.8,106.0
407.44839244929426,205.8,99.0
407.44839244929426,206.8,104.0
407.44839244929426,207.8,102.0
407.44839244929426,208.8,107.0
407.44839244929426,209.8,99.0
407.44839244929426,210.8,98.0
407.44839244929426,211.8,98.0
407.44839244929426,212.8,107.0
407.44839244929426,213.8,106.0
407.44839244929426,214.8,105.0
407.44839244929426,215.8,102.0
407.44839244929426,216.8,101.0
407.44839244929426,217.8,101.0
407.44839244929426,218.8,101.0
407.44839244929426,219.8,89.0
407.44839244929426,221.8,104.0
407.44839244929426,222.8,104.0
407.44839244929426,223.8,104.0
407.44839244929426,224.8,102.0
407.44839244929426,225.8,101.0
407.44839244929426,226.8,103.0
407.44839244929426,227.8,102.0
407.44839244929426,228.8,98.0
407.44839244929426,229.8,111.0
407.44839244929426,230.8,104.0
407.44839244929426,231.8,110.0
407.44839244929426,232.8,115.0
407.44839244929426,233.8,104.0
407.44839244929426,234.8,99.0
407.44839244929426,235.8,93.0
407.44839244929426,236.8,100.0
407.44839244929426,237.8,103.0
407.44839244929426,238.8,102.0
407.44839244929426,239.8,97.0
708.9565462636865,1.7999999999999972,30.333333333333332
708.9565462636865,2.799999999999997,32.0
708.9565462636865,3.799999999999997,26.666666666666668
708.9565462636865,4.799999999999997,31.0
708.9565462636865,5.799999999999997,26.333333333333332
708.9565462636865,6.799999999999997,79.0
708.9565462636865,7.799999999999997,109.33333333333333
708.9565462636865,9.799999999999997,58.0
708.9565462636865,10.799999999999997,32.0
708.9565462636865,11.799999999999997,77.66666666666667
708.9565462636865,12.799999999999997,70.0
708.9565462636865,13.799999999999997,72.33333333333333
708.9565462636865,14.799999999999997,36.0
708.9565462636865,15.799999999999997,59.666666666666664
708.9565462636865,16.799999999999997,65.33333333333333
708.9565462636865,18.799999999999997,34.666666666666664
708.9565462636865,19.799999999999997,35.333333333333336
708.9565462636865,20.799999999999997,42.666666666666664
708.9565462636865,22.799999999999997,70.33333333333333
708.9565462636865,23.799999999999997,55.333333333333336
708.9565462636865,25.799999999999997,32.0
708.9565462636865,26.799999999999997,27.0
708.9565462636865,28.8,31.666666666666668
708.9565462636865,29.8,61.0
708.9565462636865,30.8,31.333333333333332
708.9565462636865,31.8,31.0
708.9565462636865,32.8,66.0
708.9565462636865,33.8,72.66666666666667
708.9565462636865,34.8,24.666666666666668
708.9565462636865,35.8,78.66666666666667
708.9565462636865,36.8,66.0
708.9565462636865,37.8,33.0
708.9565462636865,38.8,62.0
708.9565462636865,40.8,111.66666666666667
708.9565462636865,41.8,36.0
708.9565462636865,44.8,61.666666666666664
708.9565462636865,45.8,51.333333333333336
708.9565462636865,46.8,34.333333333333336
708.9565462636865,47.8,70.66666666666667
708.9565462636865,48.8,21.0
708.9565462636865,49.8,73.66666666666667
708.9565462636865,51.8,64.33333333333333
708.9565462636865,52.8,30.666666666666668
708.9565462636865,53.8,28.666666666666668
708.9565462636865,54.8,32.333333333333336
708.9565462636865,55.8,64.0
708.9565462636865,57.8,30.666666666666668
708.9565462636865,58.8,30.666666666666668
708.9565462636865,59.8,63.333333333333336
708.9565462636865,60.8,56.0
708.9565462636865,61.8,60.333333333333336
708.9565462636865,62.8,66.33333333333333
708.9565462636865,63.8,60.0
708.9565462636865,64.8,65.66666666666667
708.9565462636865,65.8,68.0
708.9565462636865,66.8,58.333333333333336
708.9565462636865,67.8,36.0
708.9565462636865,68.8,69.66666666666667
708.9565462636865,69.8,29.0
708.9565462636865,70.8,30.333333333333332
708.9565462636865,71.8,45.333333333333336
708.9565462636865,72.8,62.666666666666664
708.9565462636865,73.8,66.0
708.9565462636865,74.8,28.333333333333332
708.9565462636865,75.8,79.0
708.9565462636865,76.8,21.333333333333332
708.9565462636865,77.8,65.33333333333333
708.9565462636865,78.8,63.666666666666664
708.9565462636865,79.8,37.333333333333336
708.9565462636865,80.8,63.666666666666664
708.9565462636865,81.8,53.333333333333336
708.9565462636865,82.8,57.333333333333336
708.9565462636865,83.8,67.66666666666667
708.9565462636865,84.8,31.666666666666668
708.9565462636865,85.8,28.333333333333332
708.9565462636865,86.8,93.66666666666667
708.9565462636865,87.8,31.333333333333332
708.9565462636865,89.8,71.0
708.9565462636865,90.8,53.333333333333336
708.9565462636865,91.8,66.66666666666667
708.9565462636865,92.8,32.0
708.9565462636865,93.8,26.0
708.9565462636865,94.8,54.333333333333336
708.9565462636865,95.8,61.666666666666664
708.9565462636865,96.8,29.0
708.9565462636865,97.8,68.0
708.9565462636865,98.8,31.666666666666668
708.9565462636865,99.8,62.666666666666664
708.9565462636865,100.8,64.33333333333333
708.9565462636865,101.8,68.33333333333333
708.9565462636865,102.8,104.66666666666667
708.9565462636865,103.8,82.66666666666667
708.9565462636865,104.8,57.333333333333336
708.9565462636865,105.8,100.33333333333333
708.9565462636865,106.8,70.33333333333333
708.9565462636865,107.8,64.0
708.9565462636865,108.8,104.0
708.9565462636865,109.8,54.666666666666664
708.9565462636865,110.8,100.0
708.9565462636865,111.8,103.0
708.9565462636865,112.8,100.33333333333333
708.9565462636865,113.8,104.33333333333333
708.9565462636865,114.8,64.0
708.9565462636865,115.8,101.0
708.9565462636865,116.8,106.66666666666667
708.9565462636865,117.8,105.0
708.9565462636865,118.8,92.0
708.9565462636865,119.8,60.666666666666664
708.9565462636865,120.8,97.66666666666667
708.9565462636865,121.8,97.0
708.9565462636865,122.8,59.333333333333336
708.9565462636865,123.8,98.0
708.9565462636865,124.8,96.66666666666667
708.9565462636865,125.8,92.33333333333333
708.9565462636865,126.8,68.33333333333333
708.9565462636865,127.8,101.0
708.9565462636865,128.8,104.0
708.9565462636865,129.8,116.66666666666667
708.9565462636865,130.8,95.33333333333333
708.9565462636865,131.8,78.33333333333333
708.9565462636865,132.8,100.0
708.9565462636865,133.8,108.0
708.9565462636865,134.8,94.0
708.9565462636865,135.8,66.33333333333333
708.9565462636865,136.8,99.66666666666667
708.9565462636865,137.8,112.66666666666667
708.9565462636865,138.8,102.66666666666667
708.9565462636865,139.8,100.0
708.9565462636865,140.8,99.0
708.9565462636865,141.8,98.33333333333333
708.9565462636865,142.8,99.66666666666667
708.9565462636865,143.8,101.0
708.9565462636865,144.8,103.66666666666667
708.9565462636865,145.8,101.0
708.9565462636865,146.8,105.33333333333333
708.9565462636865,147.8,99.0
708.9565462636865,148.8,104.33333333333333
708.9565462636865,149.8,101.66666666666667
708.9565462636865,150.8,95.0
708.9565462636865,151.8,99.66666666666667
708.9565462636865,152.8,104.66666666666667
708.9565462636865,153.8,98.66666666666667
708.9565462636865,154.8,98.66666666666667
708.9565462636865,155.8,97.66666666666667
708.9565462636865,156.8,90.33333333333333
708.9565462636865,157.8,95.66666666666667
708.9565462636865,158.8,90.66666666666667
708.9565462636865,159.8,97.0
708.9565462636865,160.8,95.33333333333333
708.9565462636865,161.8,96.66666666666667
708.9565462636865,162.8,100.33333333333333
708.9565462636865,163.8,100.66666666666667
708.9565462636865,164.8,99.66666666666667
708.9565462636865,165.8,93.66666666666667
708.9565462636865,166.8,99.0
708.9565462636865,167.8,93.0
708.9565462636865,168.8,101.33333333333333
708.9565462636865,169.8,101.66666666666667
708.9565462636865,170.8,98.0
708.9565462636865,171.8,100.33333333333333
708.9565462636865,172.8,94.0
708.9565462636865,173.8,98.33333333333333
708.9565462636865,174.8,105.66666666666667
708.9565462636865,175.8,99.66666666666667
708.9565462636865,176.8,93.66666666666667
708.9565462636865,177.8,98.66666666666667
708.9565462636865,178.8,94.33333333333333
708.9565462636865,179.8,98.0
708.9565462636865,180.8,95.0
708.9565462636865,181.8,96.66666666666667
708.9565462636865,182.8,93.0
708.9565462636865,183.8,92.33333333333333
708.9565462636865,184.8,93.66666666666667
708.9565462636865,185.8,100.66666666666667
708.9565462636865,186.8,100.0
708.9565462636865,187.8,96.66666666666667
708.9565462636865,188.8,93.66666666666667
708.9565462636865,189.8,98.0
708.9565462636865,190.8,91.33333333333333
708.9565462636865,191.8,90.0
708.9565462636865,192.8,92.33333333333333
708.9565462636865,193.8,95.33333333333333
708.9565462636865,194.8,94.0
708.9565462636865,195.8,92.33333333333333
708.9565462636865,196.8,96.0
708.9565462636865,197.8,94.33333333333333
708.9565462636865,198.8,96.33333333333333
708.9565462636865,199.8,91.0
708.9565462636865,200.8,94.33333333333333
708.9565462636865,201.8,96.0
708.9565462636865,202.8,94.33333333333333
708.9565462636865,203.8,87.33333333333333
708.9565462636865,204.8,95.33333333333333
708.9565462636865,205.8,98.33333333333333
708.9565462636865,206.8,96.33333333333333
708.9565462636865,207.8,97.0
708.9565462636865,208.8,98.33333333333333
708.9565462636865,209.8,96.0
708.9565462636865,210.8,89.33333333333333
708.9565462636865,211.8,101.0
708.9565462636865,212.8,102.33333333333333
708.9565462636865,213.8,95.33333333333333
708.9565462636865,214.8,91.66666666666667
708.9565462636865,215.8,94.66666666666667
708.9565462636865,216.8,97.0
708.9565462636865,217.8,96.33333333333333
708.9565462636865,218.8,91.66666666666667
708.9565462636865,219.8,100.33333333333333
708.9565462636865,220.8,99.66666666666667
708.9565462636865,221.8,98.33333333333333
708.9565462636865,222.8,95.33333333333333
708.9565462636865,223.8,91.0
708.9565462636865,224.8,100.0
708.9565462636865,225.8,96.33333333333333
708.9565462636865,226.8,96.33333333333333
708.9565462636865,227.8,94.0
708.9565462636865,228.8,94.33333333333333
708.9565462636865,229.8,103.33333333333333
708.9565462636865,230.8,91.33333333333333
708.9565462636865,231.8,97.66666666666667
708.9565462636865,232.8,99.66666666666667
708.9565462636865,233.8,86.66666666666667
708.9565462636865,234.8,95.0
708.9565462636865,235.8,94.0
708.9565462636865,236.8,95.0
708.9565462636865,237.8,102.0
708.9565462636865,238.8,92.66666666666667
708.9565462636865,239.8,95.33333333333333
2597.4369906834327,0.7999999999999972,98.5
2597.4369906834327,3.799999999999997,41.0
2597.4369906834327,5.799999999999997,45.0
2597.4369906834327,7.799999999999997,42.5
2597.4369906834327,8.799999999999997,45.5
2597.4369906834327,9.799999999999997,44.5
2597.4369906834327,12.799999999999997,57.0
2597.4369906834327,13.799999999999997,46.5
2597.4369906834327,15.799999999999997,47.0
2597.4369906834327,19.799999999999997,64.0
2597.4369906834327,21.799999999999997,43.0
2597.4369906834327,22.799999999999997,89.0
2597.4369906834327,24.799999999999997,44.5
2597.4369906834327,27.799999999999997,47.0
2597.4369906834327,28.8,46.5
2597.4369906834327,30.8,93.5
