x,t,v
1268.409084977623,0.04999999999999716,68.0
1268.409084977623,1.0499999999999972,65.66666666666667
1268.409084977623,2.049999999999997,59.333333333333336
1268.409084977623,3.049999999999997,70.0
1268.409084977623,4.049999999999997,67.33333333333333
1268.409084977623,5.049999999999997,62.666666666666664
1268.409084977623,6.049999999999997,65.33333333333333
1268.409084977623,7.049999999999997,70.0
1268.409084977623,8.049999999999997,64.66666666666667
1268.409084977623,9.049999999999997,60.333333333333336
1268.409084977623,10.049999999999997,58.666666666666664
1268.409084977623,11.049999999999997,65.0
1268.409084977623,12.049999999999997,67.0
1268.409084977623,13.049999999999997,71.0
1268.409084977623,14.049999999999997,70.66666666666667
1268.409084977623,15.049999999999997,73.66666666666667
1268.409084977623,16.049999999999997,73.66666666666667
1268.409084977623,17.049999999999997,74.33333333333333
1268.409084977623,18.049999999999997,76.33333333333333
1268.409084977623,19.049999999999997,73.66666666666667
1268.409084977623,20.049999999999997,74.0
1268.409084977623,21.049999999999997,77.0
1268.409084977623,22.049999999999997,76.66666666666667
1268.409084977623,23.049999999999997,76.0
1268.409084977623,24.049999999999997,77.0
1268.409084977623,25.049999999999997,75.0
1268.409084977623,26.049999999999997,77.0
1268.409084977623,27.049999999999997,75.66666666666667
1268.409084977623,28.05,78.0
1268.409084977623,29.05,77.33333333333333
1268.409084977623,30.05,76.0
1268.409084977623,31.05,76.0
1268.409084977623,32.05,76.0
1268.409084977623,33.05,75.66666666666667
1268.409084977623,34.05,77.33333333333333
1268.409084977623,35.05,77.0
1268.409084977623,36.05,77.33333333333333
1268.409084977623,37.05,77.66666666666667
1268.409084977623,38.05,77.0
1268.409084977623,39.05,78.33333333333333
1268.409084977623,40.05,76.66666666666667
1268.409084977623,41.05,76.66666666666667
1268.409084977623,42.05,78.33333333333333
1268.409084977623,43.05,78.0
1268.409084977623,44.05,76.66666666666667
1268.409084977623,45.05,77.66666666666667
1268.409084977623,46.05,76.66666666666667
1268.409084977623,47.05,77.0
1268.409084977623,48.05,77.0
1268.409084977623,49.05,76.0
1268.409084977623,50.05,79.33333333333333
1268.409084977623,51.05,76.66666666666667
1268.409084977623,52.05,79.0
1268.409084977623,53.05,77.0
1268.409084977623,54.05,78.33333333333333
1268.409084977623,55.05,76.66666666666667
1268.409084977623,56.05,76.66666666666667
1268.409084977623,57.05,75.33333333333333
1268.409084977623,58.05,78.0
1268.409084977623,59.05,78.66666666666667
1268.409084977623,60.05,75.66666666666667
1268.409084977623,61.05,78.0
1268.409084977623,62.05,77.0
1268.409084977623,63.05,77.33333333333333
1268.409084977623,64.05,78.33333333333333
1268.409084977623,65.05,77.66666666666667
1268.409084977623,66.05,77.66666666666667
1268.409084977623,67.05,79.0
1268.409084977623,68.05,76.33333333333333
1268.409084977623,69.05,77.0
1268.409084977623,70.05,78.0
1268.409084977623,71.05,77.33333333333333
1268.409084977623,72.05,75.66666666666667
1268.409084977623,73.05,79.0
1268.409084977623,74.05,77.33333333333333
1268.409084977623,75.05,75.66666666666667
1268.409084977623,76.05,77.33333333333333
1268.409084977623,77.05,78.66666666666667
1268.409084977623,78.05,78.33333333333333
1268.409084977623,79.05,77.66666666666667
1268.409084977623,80.05,78.0
1268.409084977623,81.05,78.0
1268.409084977623,82.05,78.66666666666667
1268.409084977623,83.05,77.0
1268.409084977623,84.05,78.0
1268.409084977623,85.05,77.33333333333333
1268.409084977623,86.05,77.0
1268.409084977623,87.05,79.0
1268.409084977623,88.05,78.33333333333333
1268.409084977623,89.05,79.33333333333333
1268.409084977623,90.05,78.66666666666667
1268.409084977623,91.05,79.33333333333333
1268.409084977623,92.05,78.0
1268.409084977623,93.05,79.66666666666667
1268.409084977623,94.05,75.66666666666667
1268.409084977623,95.05,77.0
1268.409084977623,96.05,77.33333333333333
1268.409084977623,97.05,79.33333333333333
1268.409084977623,98.05,79.66666666666667
1268.409084977623,99.05,77.66666666666667
1268.409084977623,100.05,51.666666666666664
1268.409084977623,101.05,75.66666666666667
1268.409084977623,102.05,76.66666666666667
1268.409084977623,103.05,77.66666666666667
1268.409084977623,104.05,79.33333333333333
1268.409084977623,105.05,74.66666666666667
1268.409084977623,106.05,77.66666666666667
1268.409084977623,107.05,78.0
1268.409084977623,108.05,79.33333333333333
1268.409084977623,109.05,78.33333333333333
1268.409084977623,110.05,77.66666666666667
1268.409084977623,111.05,80.0
1268.409084977623,112.05,78.0
1268.409084977623,113.05,77.33333333333333
1268.409084977623,114.05,77.33333333333333
1268.409084977623,115.05,79.0
1268.409084977623,116.05,78.66666666666667
1268.409084977623,117.05,79.33333333333333
1268.409084977623,118.05,76.33333333333333
1268.409084977623,119.05,77.66666666666667
1268.409084977623,120.05,75.33333333333333
1268.409084977623,121.05,78.33333333333333
1268.409084977623,122.05,49.666666666666664
1268.409084977623,123.05,77.66666666666667
1268.409084977623,124.05,77.0
1268.409084977623,125.05,79.0
1268.409084977623,126.05,79.0
1268.409084977623,127.05,81.33333333333333
1268.409084977623,128.05,75.0
1268.409084977623,129.05,78.33333333333333
1268.409084977623,130.05,78.66666666666667
1268.409084977623,131.05,80.0
1268.409084977623,132.05,78.0
1268.409084977623,133.05,77.33333333333333
1268.409084977623,134.05,79.33333333333333
1268.409084977623,135.05,75.33333333333333
1268.409084977623,136.05,80.33333333333333
1268.409084977623,137.05,78.66666666666667
1268.409084977623,138.05,78.33333333333333
1268.409084977623,139.05,76.66666666666667
1268.409084977623,140.05,78.33333333333333
1268.409084977623,141.05,78.33333333333333
1268.409084977623,142.05,77.66666666666667
1268.409084977623,143.05,78.0
1268.409084977623,144.05,78.66666666666667
1268.409084977623,145.05,78.33333333333333
1268.409084977623,146.05,78.0
1268.409084977623,147.05,77.33333333333333
1268.409084977623,148.05,50.666666666666664
1268.409084977623,149.05,79.33333333333333
1268.409084977623,150.05,75.66666666666667
1268.409084977623,151.05,79.0
1268.409084977623,152.05,78.0
1268.409084977623,153.05,79.33333333333333
1268.409084977623,154.05,78.33333333333333
1268.409084977623,155.05,77.0
1268.409084977623,156.05,77.33333333333333
1268.409084977623,157.05,79.66666666666667
1268.409084977623,158.05,78.33333333333333
1268.409084977623,159.05,78.33333333333333
1268.409084977623,160.05,77.0
1268.409084977623,161.05,80.0
1268.409084977623,162.05,77.66666666666667
1268.409084977623,163.05,77.33333333333333
1268.409084977623,164.05,50.0
1268.409084977623,165.05,76.0
1268.409084977623,166.05,76.33333333333333
1268.409084977623,167.05,78.33333333333333
1268.409084977623,168.05,78.33333333333333
1268.409084977623,169.05,79.0
1268.409084977623,170.05,76.66666666666667
1268.409084977623,171.05,77.0
1268.409084977623,172.05,78.66666666666667
1268.409084977623,173.05,79.33333333333333
1268.409084977623,174.05,77.66666666666667
1268.409084977623,175.05,77.66666666666667
1268.409084977623,176.05,79.66666666666667
1268.409084977623,177.05,79.0
1268.409084977623,178.05,85.0
1268.409084977623,179.05,77.66666666666667
1268.409084977623,180.05,78.0
1268.409084977623,181.05,79.33333333333333
1268.409084977623,182.05,76.33333333333333
1268.409084977623,183.05,78.0
1268.409084977623,184.05,77.0
1268.409084977623,185.05,50.333333333333336
1268.409084977623,186.05,77.66666666666667
1268.409084977623,187.05,77.33333333333333
1268.409084977623,188.05,79.33333333333333
1268.409084977623,189.05,78.0
1268.409084977623,190.05,79.66666666666667
1268.409084977623,191.05,78.66666666666667
1268.409084977623,192.05,78.0
1268.409084977623,193.05,79.0
1268.409084977623,194.05,78.33333333333333
1268.409084977623,195.05,78.66666666666667
1268.409084977623,196.05,76.0
1268.409084977623,197.05,76.33333333333333
1268.409084977623,198.05,79.0
1268.409084977623,199.05,77.66666666666667
1268.409084977623,200.05,78.33333333333333
1268.409084977623,201.05,79.33333333333333
1268.409084977623,202.05,77.0
1268.409084977623,203.05,79.33333333333333
1268.409084977623,204.05,79.0
1268.409084977623,205.05,77.0
1268.409084977623,206.05,78.66666666666667
1268.409084977623,207.05,79.33333333333333
1268.409084977623,208.05,78.0
1268.409084977623,209.05,78.33333333333333
1268.409084977623,210.05,79.0
1268.409084977623,211.05,78.0
1268.409084977623,212.05,78.66666666666667
1268.409084977623,213.05,78.0
1268.409084977623,214.05,78.33333333333333
1268.409084977623,215.05,79.0
1268.409084977623,216.05,77.33333333333333
1268.409084977623,217.05,79.33333333333333
1268.409084977623,218.05,77.33333333333333
1268.409084977623,219.05,80.33333333333333
1268.409084977623,220.05,76.33333333333333
1268.409084977623,221.05,77.66666666666667
1268.409084977623,222.05,78.66666666666667
1268.409084977623,223.05,79.66666666666667
1268.409084977623,224.05,52.0
1268.409084977623,225.05,78.0
1268.409084977623,226.05,79.33333333333333
1268.409084977623,227.05,79.0
1268.409084977623,228.05,78.0
1268.409084977623,229.05,79.66666666666667
1268.409084977623,230.05,77.66666666666667
1268.409084977623,231.05,76.66666666666667
1268.409084977623,232.05,78.66666666666667
1268.409084977623,233.05,79.66666666666667
1268.409084977623,234.05,76.66666666666667
1268.409084977623,235.05,77.33333333333333
1268.409084977623,236.05,74.66666666666667
1268.409084977623,237.05,50.666666666666664
1268.409084977623,238.05,79.66666666666667
1268.409084977623,239.05,78.0
1624.7082310639303,0.04999999999999716,61.0
1624.7082310639303,1.0499999999999972,53.0
1624.7082310639303,2.049999999999997,38.666666666666664
1624.7082310639303,3.049999999999997,53.333333333333336
1624.7082310639303,4.049999999999997,52.333333333333336
1624.7082310639303,5.049999999999997,51.333333333333336
1624.7082310639303,6.049999999999997,49.666666666666664
1624.7082310639303,7.049999999999997,57.666666666666664
1624.7082310639303,8.049999999999997,60.666666666666664
