x,t,v
1179.8434629730662,0.04999999999999716,99.0
1179.8434629730662,1.0499999999999972,97.0
1179.8434629730662,2.049999999999997,101.5
1179.8434629730662,3.049999999999997,100.0
1179.8434629730662,4.049999999999997,100.5
1179.8434629730662,5.049999999999997,98.0
1179.8434629730662,6.049999999999997,95.5
1179.8434629730662,7.049999999999997,99.0
1179.8434629730662,8.049999999999997,94.5
1179.8434629730662,9.049999999999997,100.0
1179.8434629730662,10.049999999999997,98.5
1179.8434629730662,11.049999999999997,96.0
1179.8434629730662,12.049999999999997,94.5
1179.8434629730662,13.049999999999997,95.5
1179.8434629730662,14.049999999999997,97.0
1179.8434629730662,15.049999999999997,96.5
1179.8434629730662,16.049999999999997,100.0
1179.8434629730662,17.049999999999997,106.5
1179.8434629730662,18.049999999999997,98.5
1179.8434629730662,19.049999999999997,98.0
1179.8434629730662,20.049999999999997,94.0
1179.8434629730662,21.049999999999997,99.5
1179.8434629730662,22.049999999999997,99.0
1179.8434629730662,23.049999999999997,94.5
1179.8434629730662,24.049999999999997,99.5
1179.8434629730662,25.049999999999997,96.0
1179.8434629730662,26.049999999999997,102.5
1179.8434629730662,27.049999999999997,102.5
1179.8434629730662,28.05,99.5
1179.8434629730662,29.05,97.0
1179.8434629730662,30.05,99.0
1179.8434629730662,31.05,96.0
1179.8434629730662,32.05,99.5
1179.8434629730662,33.05,100.0
1179.8434629730662,34.05,93.0
1179.8434629730662,35.05,95.5
1179.8434629730662,36.05,97.5
1179.8434629730662,37.05,102.5
1179.8434629730662,38.05,98.5
1179.8434629730662,39.05,96.5
1179.8434629730662,40.05,98.5
1179.8434629730662,41.05,97.0
1179.8434629730662,42.05,99.5
1179.8434629730662,43.05,95.5
1179.8434629730662,44.05,95.5
1179.8434629730662,45.05,99.0
1179.8434629730662,46.05,99.0
1179.8434629730662,47.05,100.0
1179.8434629730662,48.05,101.5
1179.8434629730662,49.05,97.0
1179.8434629730662,50.05,98.0
1179.8434629730662,51.05,98.5
1179.8434629730662,52.05,98.5
1179.8434629730662,53.05,104.5
1179.8434629730662,54.05,101.5
1179.8434629730662,55.05,98.5
1179.8434629730662,56.05,97.0
1179.8434629730662,57.05,95.5
1179.8434629730662,58.05,101.0
1179.8434629730662,59.05,105.5
1179.8434629730662,60.05,103.0
1179.8434629730662,61.05,99.5
1179.8434629730662,62.05,96.0
1179.8434629730662,63.05,100.0
1179.8434629730662,64.05,99.5
1179.8434629730662,65.05,98.5
1179.8434629730662,66.05,98.5
1179.8434629730662,67.05,93.5
1179.8434629730662,68.05,96.0
1179.8434629730662,69.05,102.0
1179.8434629730662,70.05,99.5
1179.8434629730662,71.05,100.5
1179.8434629730662,72.05,102.0
1179.8434629730662,73.05,107.5
1179.8434629730662,74.05,106.5
1179.8434629730662,75.05,95.0
1179.8434629730662,76.05,97.5
1179.8434629730662,77.05,94.5
1179.8434629730662,78.05,95.0
1179.8434629730662,79.05,96.0
1179.8434629730662,80.05,99.5
1179.8434629730662,81.05,101.0
1179.8434629730662,82.05,101.0
1179.8434629730662,83.05,99.0
1179.8434629730662,84.05,97.5
1179.8434629730662,85.05,103.0
1179.8434629730662,86.05,103.0
1179.8434629730662,87.05,102.0
1179.8434629730662,88.05,104.0
1179.8434629730662,89.05,103.0
1179.8434629730662,90.05,98.0
1179.8434629730662,91.05,99.5
1179.8434629730662,92.05,103.0
1179.8434629730662,93.05,104.0
1179.8434629730662,94.05,98.0
1179.8434629730662,95.05,100.0
1179.8434629730662,96.05,94.5
1179.8434629730662,97.05,101.5
1179.8434629730662,98.05,103.0
1179.8434629730662,99.05,99.0
1179.8434629730662,100.05,97.5
1179.8434629730662,101.05,100.0
1179.8434629730662,102.05,101.5
1179.8434629730662,103.05,96.5
1179.8434629730662,104.05,98.0
1179.8434629730662,105.05,106.0
1179.8434629730662,106.05,99.0
1179.8434629730662,107.05,101.0
1179.8434629730662,108.05,100.0
1179.8434629730662,109.05,103.5
1179.8434629730662,110.05,103.0
1179.8434629730662,111.05,96.5
1179.8434629730662,112.05,104.5
1179.8434629730662,113.05,96.0
1179.8434629730662,114.05,98.5
1179.8434629730662,115.05,103.5
1179.8434629730662,116.05,100.5
1179.8434629730662,117.05,98.0
1179.8434629730662,118.05,101.0
1179.8434629730662,119.05,102.5
1179.8434629730662,120.05,104.0
1179.8434629730662,121.05,94.0
1179.8434629730662,122.05,92.5
1179.8434629730662,123.05,102.0
1179.8434629730662,124.05,97.5
1179.8434629730662,125.05,105.0
1179.8434629730662,126.05,107.0
1179.8434629730662,127.05,102.0
1179.8434629730662,128.05,103.5
1179.8434629730662,129.05,100.5
1179.8434629730662,130.05,102.0
1179.8434629730662,131.05,102.0
1179.8434629730662,132.05,101.0
1179.8434629730662,133.05,95.5
1179.8434629730662,134.05,104.5
1179.8434629730662,135.05,100.5
1179.8434629730662,136.05,99.5
1179.8434629730662,137.05,105.5
1179.8434629730662,138.05,109.0
1179.8434629730662,139.05,103.5
1179.8434629730662,140.05,102.5
1179.8434629730662,141.05,102.5
1179.8434629730662,142.05,97.0
1179.8434629730662,143.05,106.0
1179.8434629730662,144.05,98.0
1179.8434629730662,145.05,101.5
1179.8434629730662,146.05,102.5
1179.8434629730662,147.05,100.5
1179.8434629730662,148.05,95.0
1179.8434629730662,149.05,100.0
1179.8434629730662,150.05,106.0
1179.8434629730662,151.05,103.0
1179.8434629730662,152.05,98.0
1179.8434629730662,153.05,102.0
1179.8434629730662,154.05,102.5
1179.8434629730662,155.05,96.0
1179.8434629730662,156.05,102.5
1179.8434629730662,157.05,106.5
1179.8434629730662,158.05,99.0
1179.8434629730662,159.05,98.0
1179.8434629730662,160.05,100.0
1179.8434629730662,161.05,100.5
1179.8434629730662,162.05,100.5
1179.8434629730662,163.05,102.0
1179.8434629730662,164.05,101.5
1179.8434629730662,165.05,102.0
1179.8434629730662,166.05,100.5
1179.8434629730662,167.05,99.0
1179.8434629730662,168.05,106.5
1179.8434629730662,169.05,99.5
1179.8434629730662,170.05,104.0
1179.8434629730662,171.05,107.0
1179.8434629730662,172.05,99.0
1179.8434629730662,173.05,101.5
1179.8434629730662,174.05,90.5
1179.8434629730662,175.05,103.5
1179.8434629730662,176.05,100.5
1179.8434629730662,177.05,102.5
1179.8434629730662,178.05,105.5
1179.8434629730662,179.05,98.0
1179.8434629730662,180.05,107.5
1179.8434629730662,181.05,103.0
1179.8434629730662,182.05,105.0
1179.8434629730662,183.05,104.0
1179.8434629730662,184.05,103.0
1179.8434629730662,185.05,99.5
1179.8434629730662,186.05,98.5
1179.8434629730662,187.05,106.0
1179.8434629730662,188.05,107.0
1179.8434629730662,189.05,104.5
1179.8434629730662,190.05,107.5
1179.8434629730662,191.05,101.0
1179.8434629730662,192.05,100.5
1179.8434629730662,193.05,107.5
1179.8434629730662,194.05,103.0
1179.8434629730662,195.05,101.5
1179.8434629730662,196.05,104.0
1179.8434629730662,197.05,103.5
1179.8434629730662,198.05,48.5
1179.8434629730662,199.05,101.0
1179.8434629730662,200.05,103.0
1179.8434629730662,201.05,104.5
1179.8434629730662,202.05,100.5
1179.8434629730662,203.05,105.0
1179.8434629730662,204.05,100.0
1179.8434629730662,205.05,102.0
1179.8434629730662,206.05,103.0
1179.8434629730662,207.05,101.0
1179.8434629730662,208.05,103.5
1179.8434629730662,209.05,111.0
1179.8434629730662,210.05,104.0
1179.8434629730662,211.05,103.5
1179.8434629730662,212.05,104.0
1179.8434629730662,213.05,100.5
1179.8434629730662,214.05,96.0
1179.8434629730662,215.05,112.5
1179.8434629730662,216.05,93.5
1179.8434629730662,217.05,105.0
1179.8434629730662,218.05,106.5
1179.8434629730662,219.05,107.0
1179.8434629730662,220.05,109.5
1179.8434629730662,221.05,106.0
1179.8434629730662,222.05,116.5
1179.8434629730662,223.05,92.5
1179.8434629730662,224.05,102.0
1179.8434629730662,225.05,105.0
1179.8434629730662,226.05,101.5
1179.8434629730662,227.05,104.5
1179.8434629730662,228.05,98.5
1179.8434629730662,229.05,112.5
1179.8434629730662,230.05,107.0
1179.8434629730662,231.05,109.5
1179.8434629730662,232.05,105.0
1179.8434629730662,233.05,106.5
1179.8434629730662,234.05,112.0
1179.8434629730662,235.05,110.5
1179.8434629730662,236.05,104.0
1179.8434629730662,237.05,109.0
1179.8434629730662,238.05,101.5
1179.8434629730662,239.05,102.5
1388.95298809177,0.04999999999999716,94.0
1388.95298809177,1.0499999999999972,98.5
1388.95298809177,2.049999999999997,98.0
1388.95298809177,3.049999999999997,100.0
1388.95298809177,4.049999999999997,100.0
1388.95298809177,5.049999999999997,97.5
1388.95298809177,6.049999999999997,91.5
1388.95298809177,7.049999999999997,95.0
1388.95298809177,8.049999999999997,93.0
1388.95298809177,9.049999999999997,97.5
1388.95298809177,10.049999999999997,94.5
1388.95298809177,11.049999999999997,92.5
1388.95298809177,12.049999999999997,96.5
1388.95298809177,13.049999999999997,92.5
1388.95298809177,14.049999999999997,96.5
1388.95298809177,15.049999999999997,93.0
1388.95298809177,16.049999999999997,97.5
1388.95298809177,17.049999999999997,104.5
1388.95298809177,18.049999999999997,97.0
1388.95298809177,19.049999999999997,99.5
1388.95298809177,20.049999999999997,90.0
1388.95298809177,21.049999999999997,94.5
1388.95298809177,22.049999999999997,103.0
1388.95298809177,23.049999999999997,92.0
1388.95298809177,24.049999999999997,98.0
1388.95298809177,25.049999999999997,95.0
1388.95298809177,26.049999999999997,98.5
1388.95298809177,27.049999999999997,103.0
1388.95298809177,28.05,99.5
1388.95298809177,29.05,99.5
1388.95298809177,30.05,96.5
1388.95298809177,31.05,97.0
1388.95298809177,32.05,98.5
1388.95298809177,33.05,99.0
1388.95298809177,34.05,89.5
1388.95298809177,35.05,96.5
1388.95298809177,36.05,93.5
1388.95298809177,37.05,102.0
1388.95298809177,38.05,96.5
1388.95298809177,39.05,94.0
1388.95298809177,40.05,95.5
1388.95298809177,41.05,95.0
1388.95298809177,42.05,97.5
1388.95298809177,43.05,93.5
1388.95298809177,44.05,94.0
1388.95298809177,45.05,95.0
1388.95298809177,46.05,98.5
1388.95298809177,47.05,96.5
1388.95298809177,48.05,101.0
1388.95298809177,49.05,96.5
1388.95298809177,50.05,96.5
1388.95298809177,51.05,96.0
1388.95298809177,52.05,96.5
1388.95298809177,53.05,103.5
1388.95298809177,54.05,98.5
1388.95298809177,55.05,95.5
1388.95298809177,56.05,95.5
1388.95298809177,57.05,94.5
1388.95298809177,58.05,98.0
1388.95298809177,59.05,102.0
1388.95298809177,60.05,100.5
1388.95298809177,61.05,99.5
1388.95298809177,62.05,95.0
1388.95298809177,63.05,98.0
1388.95298809177,64.05,99.0
1388.95298809177,65.05,98.5
1388.95298809177,66.05,94.5
1388.95298809177,67.05,92.5
1388.95298809177,68.05,93.5
1388.95298809177,69.05,101.0
1388.95298809177,70.05,99.0
1388.95298809177,71.05,99.0
1388.95298809177,72.05,97.5
1388.95298809177,73.05,104.0
1388.95298809177,74.05,103.0
1388.95298809177,75.05,92.5
1388.95298809177,76.05,97.5
1388.95298809177,77.05,91.0
1388.95298809177,78.05,96.5
1388.95298809177,79.05,92.5
1388.95298809177,80.05,96.5
1388.95298809177,81.05,100.0
1388.95298809177,82.05,97.5
1388.95298809177,83.05,97.0
1388.95298809177,84.05,97.5
1388.95298809177,85.05,101.5
1388.95298809177,86.05,99.0
1388.95298809177,87.05,101.0
1388.95298809177,88.05,101.5
1388.95298809177,89.05,102.0
1388.95298809177,90.05,95.5
1388.95298809177,91.05,98.0
1388.95298809177,92.05,101.0
1388.95298809177,93.05,102.0
1388.95298809177,94.05,96.0
1388.95298809177,95.05,98.0
1388.95298809177,96.05,92.0
1388.95298809177,97.05,98.5
1388.95298809177,98.05,98.0
1388.95298809177,99.05,101.0
1388.95298809177,100.05,93.0
1388.95298809177,101.05,98.5
1388.95298809177,102.05,100.0
1388.95298809177,103.05,94.5
1388.95298809177,104.05,99.0
1388.95298809177,105.05,101.5
1388.95298809177,106.05,97.5
1388.95298809177,107.05,100.0
1388.95298809177,108.05,95.5
1388.95298809177,109.05,101.5
1388.95298809177,110.05,101.5
1388.95298809177,111.05,97.0
1388.95298809177,112.05,102.0
1388.95298809177,113.05,95.5
1388.95298809177,114.05,94.0
1388.95298809177,115.05,101.5
1388.95298809177,116.05,99.0
1388.95298809177,117.05,96.5
1388.95298809177,118.05,97.5
1388.95298809177,119.05,97.5
1388.95298809177,120.05,105.5
1388.95298809177,121.05,97.0
1388.95298809177,122.05,90.0
1388.95298809177,123.05,101.5
1388.95298809177,124.05,97.5
1388.95298809177,125.05,100.5
1388.95298809177,126.05,103.5
1388.95298809177,127.05,98.0
1388.95298809177,128.05,103.5
1388.95298809177,129.05,99.0
1388.95298809177,130.05,100.0
1388.95298809177,131.05,101.0
1388.95298809177,132.05,97.5
1388.95298809177,133.05,95.5
1388.95298809177,134.05,103.0
1388.95298809177,135.05,100.0
1388.95298809177,136.05,98.0
1388.95298809177,137.05,101.0
1388.95298809177,138.05,106.0
1388.95298809177,139.05,102.0
1388.95298809177,140.05,101.0
1388.95298809177,141.05,99.5
1388.95298809177,142.05,96.0
1388.95298809177,143.05,103.5
1388.95298809177,144.05,96.0
1388.95298809177,145.05,102.5
1388.95298809177,146.05,103.5
1388.95298809177,147.05,99.5
1388.95298809177,148.05,100.5
1388.95298809177,149.05,96.0
1388.95298809177,150.05,101.5
1388.95298809177,151.05,102.0
1388.95298809177,152.05,96.5
1388.95298809177,153.05,101.0
1388.95298809177,154.05,99.5
1388.95298809177,155.05,97.0
1388.95298809177,156.05,99.0
1388.95298809177,157.05,105.5
1388.95298809177,158.05,100.5
1388.95298809177,159.05,95.5
1388.95298809177,160.05,93.0
1388.95298809177,161.05,102.5
1388.95298809177,162.05,95.5
1388.95298809177,163.05,99.5
1388.95298809177,164.05,99.5
1388.95298809177,165.05,101.5
1388.95298809177,166.05,101.5
